File,Function Name,Line Start,Line End,Function Type
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_11.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_11_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_11.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_11_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_11.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_11.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_12.c,good1,51,75,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_12.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_12_bad,20,44,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_12.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_12_good,77,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_13.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_13.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_13.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_13_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_13.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_13_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_14.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_14_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_14.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_14.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_14.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_14_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_15.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_15_good,89,93,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_15.c,good2,68,87,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_15.c,good1,46,65,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_15.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_15_bad,20,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_16.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_16_bad,20,34,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_16.c,good1,41,55,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_16.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_16_good,57,60,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_17.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_17_bad,20,34,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_17.c,good1,41,55,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_17.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_17_good,57,60,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_18.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_18_bad,20,32,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_18.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_18_good,53,56,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_18.c,good1,39,51,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_01_bad,20,30,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_01_good,48,51,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_01.c,good1,36,46,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_02_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_02.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_02_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_02.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_03_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_03.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_03.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_03_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_04_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_04.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_04_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_04.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_05_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_05_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_05.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_05.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_06_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_06.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_06.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_06_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_07.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_07.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_07_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_07_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_08_good,89,93,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,staticReturnsFalse,26,29,OTHER
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,good2,74,87,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,staticReturnsTrue,21,24,OTHER
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,good1,53,71,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_08.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_08_bad,33,46,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_09.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_09_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_09.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_09.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_09.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_09_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_10.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_10_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_10.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_10.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_10_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_10.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_11.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_11_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_11.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_11.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_11.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_11_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_12.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_12_good,77,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_12.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_12_bad,20,44,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_12.c,good1,51,75,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_13.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_13_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_13.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_13_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_13.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_13.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_14.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_14_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_14.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_14_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_14.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_14.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_15.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_15_bad,20,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_15.c,good2,68,87,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_15.c,good1,46,65,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_15.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_15_good,89,93,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_16.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_16_good,57,60,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_16.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_16_bad,20,34,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_16.c,good1,41,55,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_17.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_17_good,57,60,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_17.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_17_bad,20,34,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_17.c,good1,41,55,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_18.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_18_good,53,56,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_18.c,good1,39,51,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__int_18.c,CWE467_Use_of_sizeof_on_Pointer_Type__int_18_bad,20,32,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_01_bad,20,30,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_01_good,48,51,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_01.c,good1,36,46,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_02_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_02_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_02.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_02.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_03_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_03.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_03_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_03.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_04_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_04.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_04.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_04_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_05_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_05_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_05.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_05.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_06_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_06.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_06.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_06_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_07_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_07.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_07.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_07_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__short_08.c,CWE467_Use_of_sizeof_on_Pointer_Type__short_08_good,89,93,GOOD
