File,Function Name,Line Start,Line End,Function Type
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_12.c,CWE398_Poor_Code_Quality__five_12_good,54,57,GOOD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_12.c,CWE398_Poor_Code_Quality__five_12_bad,20,33,BAD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_12.c,good1,40,52,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_long_43.cpp,goodB2GSource,46,50,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_long_43.cpp,bad,32,39,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_long_43.cpp,badSource,26,30,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_long_43.cpp,goodB2G,52,59,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_long_43.cpp,good,61,64,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_03.c,goodB2G1,43,63,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_03.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_03_bad,21,36,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_03.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_03_good,83,87,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_03.c,goodB2G2,66,81,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54a.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54_good,50,53,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54a.c,goodB2G,41,48,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54a.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54_bad,24,31,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_43.cpp,goodB2GSource,46,50,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_43.cpp,bad,32,39,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_43.cpp,badSource,26,30,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_43.cpp,goodB2G,52,59,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_43.cpp,good,61,64,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_82.h,CWE476_NULL_Pointer_Dereference__int_82_bad,34,34,BAD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_82.h,CWE476_NULL_Pointer_Dereference__int_82_goodB2G,50,50,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_82.h,CWE476_NULL_Pointer_Dereference__int_82_goodG2B,44,44,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_82.h,CWE476_NULL_Pointer_Dereference__int_82_base,25,25,OTHER
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_01.cpp,bad,31,51,BAD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_01.cpp,goodB2G,81,97,GOOD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_01.cpp,goodG2B,58,78,GOOD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_01.cpp,good,99,103,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_02.c,goodB2G1,41,57,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_02.c,CWE563_Unused_Variable__unused_uninit_variable_int64_t_02_bad,23,34,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_02.c,CWE563_Unused_Variable__unused_uninit_variable_int64_t_02_good,73,77,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_02.c,goodB2G2,60,71,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,goodG2B2,147,170,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,goodB2G1,55,85,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,CWE416_Use_After_Free__malloc_free_int64_t_13_bad,24,48,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,CWE416_Use_After_Free__malloc_free_int64_t_13_good,172,178,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,goodB2G2,88,113,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_13.c,goodG2B1,116,144,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_12.c,CWE252_Unchecked_Return_Value__wchar_t_rename_12_bad,33,48,BAD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_12.c,CWE252_Unchecked_Return_Value__wchar_t_rename_12_good,75,78,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_12.c,good1,55,73,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_wchar_t_81_bad.cpp,action,24,29,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07_bad,25,36,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07_good,85,89,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07.c,good2,67,83,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_07.c,good1,43,64,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_03.c,CWE758_Undefined_Behavior__int_alloca_use_03_good,77,81,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_03.c,good2,60,75,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_03.c,good1,37,57,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_03.c,CWE758_Undefined_Behavior__int_alloca_use_03_bad,20,30,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int_64b.c,CWE416_Use_After_Free__malloc_free_int_64b_badSink,24,33,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int_64b.c,CWE416_Use_After_Free__malloc_free_int_64b_goodG2BSink,40,49,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int_64b.c,CWE416_Use_After_Free__malloc_free_int_64b_goodB2GSink,52,62,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10.c,CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10_bad,20,30,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10.c,good2,60,75,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10.c,good1,37,57,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10.c,CWE758_Undefined_Behavior__wchar_t_pointer_alloca_use_10_good,77,81,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04.c,goodB2G1,55,75,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04_bad,36,48,BAD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04_good,95,99,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_04.c,goodB2G2,78,93,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__w32CreateFile_fclose_53d.c,CWE404_Improper_Resource_Shutdown__w32CreateFile_fclose_53d_goodB2GSink,36,43,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__w32CreateFile_fclose_53d.c,CWE404_Improper_Resource_Shutdown__w32CreateFile_fclose_53d_badSink,23,30,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_int_81_goodB2G.cpp,action,25,29,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__w32CreateFile_no_close_82_bad.cpp,action,24,28,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_16.c,CWE758_Undefined_Behavior__long_alloca_use_16_bad,20,31,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_16.c,CWE758_Undefined_Behavior__long_alloca_use_16_good,56,59,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_16.c,good1,38,54,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05_good,95,99,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05.c,goodB2G1,55,75,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05_bad,36,48,BAD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_05.c,goodB2G2,78,93,GOOD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_13.c,CWE398_Poor_Code_Quality__five_13_bad,20,28,BAD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_13.c,good2,50,57,GOOD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_13.c,good1,35,47,GOOD
CWE398_Poor_Code_Quality/CWE398_Poor_Code_Quality__five_13.c,CWE398_Poor_Code_Quality__five_13_good,59,63,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09_bad,20,31,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09_good,80,84,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09.c,good2,62,78,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_09.c,good1,38,59,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_05.c,CWE758_Undefined_Behavior__int_alloca_use_05_bad,26,36,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_05.c,good2,66,81,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_05.c,good1,43,63,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_05.c,CWE758_Undefined_Behavior__int_alloca_use_05_good,83,87,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int64_t_malloc_use_18.c,CWE758_Undefined_Behavior__int64_t_malloc_use_18_bad,20,30,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int64_t_malloc_use_18.c,good1,37,52,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int64_t_malloc_use_18.c,CWE758_Undefined_Behavior__int64_t_malloc_use_18_good,54,57,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_02.c,goodB2G1,43,63,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_02.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_02_good,83,87,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_02.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_02_bad,21,36,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_02.c,goodB2G2,66,81,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,goodG2B2,156,179,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,goodB2G1,64,94,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,bad,33,57,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,good,181,187,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,goodB2G2,97,122,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_int_05.cpp,goodG2B1,125,153,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_wchar_t_81a.cpp,bad,26,33,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_wchar_t_81a.cpp,goodB2G,51,58,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_wchar_t_81a.cpp,goodG2B,40,48,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_wchar_t_81a.cpp,good,60,64,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_13.c,CWE252_Unchecked_Return_Value__wchar_t_snprintf_13_bad,32,45,BAD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_13.c,CWE252_Unchecked_Return_Value__wchar_t_snprintf_13_good,94,98,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_13.c,good2,76,92,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_13.c,good1,52,73,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54b.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54b_badSink,24,27,BAD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54b.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__fopen_no_close_54b_goodB2GSink,36,39,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__long_81_goodB2G.cpp,action,25,36,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68b.c,CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68b_badSink,27,35,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68b.c,CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68b_goodB2GSink,41,49,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_81.h,CWE476_NULL_Pointer_Dereference__int_81_bad,34,34,BAD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_81.h,CWE476_NULL_Pointer_Dereference__int_81_base,25,25,OTHER
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_81.h,CWE476_NULL_Pointer_Dereference__int_81_goodB2G,50,50,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__int_81.h,CWE476_NULL_Pointer_Dereference__int_81_goodG2B,44,44,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_03.c,goodB2G1,41,57,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_03.c,CWE563_Unused_Variable__unused_uninit_variable_int64_t_03_good,73,77,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_03.c,CWE563_Unused_Variable__unused_uninit_variable_int64_t_03_bad,23,34,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_uninit_variable_int64_t_03.c,goodB2G2,60,71,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_fgets_01.c,CWE252_Unchecked_Return_Value__wchar_t_fgets_01_bad,24,36,BAD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_fgets_01.c,CWE252_Unchecked_Return_Value__wchar_t_fgets_01_good,60,63,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_fgets_01.c,good1,42,58,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_12.c,CWE416_Use_After_Free__malloc_free_int64_t_12_bad,24,67,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_12.c,CWE416_Use_After_Free__malloc_free_int64_t_12_good,169,173,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_12.c,goodB2G,76,121,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_int64_t_12.c,goodG2B,126,167,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_long_18.c,CWE563_Unused_Variable__unused_value_long_18_good,72,76,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_long_18.c,CWE563_Unused_Variable__unused_value_long_18_bad,24,36,BAD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_long_18.c,goodB2G,43,54,GOOD
CWE563_Unused_Variable/CWE563_Unused_Variable__unused_value_long_18.c,goodG2B,57,70,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68a.c,CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68_good,60,63,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68a.c,CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68_bad,30,39,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32CloseHandle_68a.c,goodB2G,49,58,GOOD
CWE676_Use_of_Potentially_Dangerous_Function/CWE676_Use_of_Potentially_Dangerous_Function__basic_05.cpp,bad,35,48,BAD
CWE676_Use_of_Potentially_Dangerous_Function/CWE676_Use_of_Potentially_Dangerous_Function__basic_05.cpp,good2,76,89,GOOD
CWE676_Use_of_Potentially_Dangerous_Function/CWE676_Use_of_Potentially_Dangerous_Function__basic_05.cpp,good1,55,73,GOOD
CWE676_Use_of_Potentially_Dangerous_Function/CWE676_Use_of_Potentially_Dangerous_Function__basic_05.cpp,good,91,95,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_11.c,CWE252_Unchecked_Return_Value__wchar_t_rename_11_good,77,81,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_11.c,CWE252_Unchecked_Return_Value__wchar_t_rename_11_bad,33,40,BAD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_11.c,good2,65,75,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_rename_11.c,good1,47,62,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08_good,93,97,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,staticReturnsFalse,26,29,OTHER
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08_bad,33,44,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,good2,75,91,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,staticReturnsTrue,21,24,OTHER
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__wchar_t_pointer_malloc_use_08.c,good1,51,72,GOOD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_66b.cpp,goodB2GSink,76,89,GOOD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_66b.cpp,badSink,31,49,BAD
CWE672_Operation_on_Resource_After_Expiration_or_Release/CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_66b.cpp,goodG2BSink,56,73,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_04.c,good2,66,81,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_04.c,good1,43,63,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_04.c,CWE758_Undefined_Behavior__int_alloca_use_04_bad,26,36,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__int_alloca_use_04.c,CWE758_Undefined_Behavior__int_alloca_use_04_good,83,87,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09.c,CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09_good,85,89,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09.c,goodB2G1,45,65,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09.c,CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09_bad,23,38,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__freopen_w32CloseHandle_09.c,goodB2G2,68,83,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06.c,goodB2G1,54,74,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06_bad,35,47,BAD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06.c,CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06_good,94,98,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__open_no_close_06.c,goodB2G2,77,92,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__struct_82_bad.cpp,action,25,29,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_05.c,goodB2G1,49,69,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_05.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_05_bad,27,42,BAD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_05.c,CWE404_Improper_Resource_Shutdown__fopen_w32_close_05_good,89,93,GOOD
CWE404_Improper_Resource_Shutdown/CWE404_Improper_Resource_Shutdown__fopen_w32_close_05.c,goodB2G2,72,87,GOOD
